DDInter712	DDInter1724	1
DDInter1729	DDInter712	1
DDInter712	DDInter1731	2
DDInter1734	DDInter712	2
DDInter1735	DDInter712	2
DDInter1744	DDInter712	2
DDInter712	DDInter1756	2
DDInter712	DDInter1758	2
DDInter1769	DDInter712	2
DDInter1770	DDInter712	2
DDInter712	DDInter1778	2
DDInter712	DDInter1789	2
DDInter1791	DDInter712	2
DDInter1796	DDInter712	2
DDInter1821	DDInter712	3
DDInter1826	DDInter712	2
DDInter712	DDInter1828	2
DDInter1831	DDInter712	1
DDInter1837	DDInter712	2
DDInter1851	DDInter712	2
DDInter1859	DDInter712	1
DDInter712	DDInter1863	2
DDInter1866	DDInter712	2
DDInter1867	DDInter712	2
DDInter1876	DDInter712	2
DDInter712	DDInter1880	2
DDInter712	DDInter1909	2
DDInter712	DDInter1917	2
DDInter1918	DDInter712	2
DDInter1921	DDInter712	2
DDInter712	DDInter1925	2
DDInter1927	DDInter712	2
DDInter712	DDInter1940	1
DDInter1946	DDInter712	2
DDInter1967	DDInter712	2
DDInter1568	DDInter1595	3
DDInter1605	DDInter1568	1
DDInter1568	DDInter1610	2
DDInter1612	DDInter1568	1
DDInter1568	DDInter1658	3
DDInter1568	DDInter1676	3
DDInter1568	DDInter1683	1
DDInter1568	DDInter1701	1
DDInter1716	DDInter1568	1
DDInter1729	DDInter1568	1
DDInter1734	DDInter1568	2
DDInter1568	DDInter1789	2
DDInter1791	DDInter1568	2
DDInter1826	DDInter1568	2
DDInter1568	DDInter1828	2
DDInter1831	DDInter1568	1
DDInter1859	DDInter1568	1
DDInter1568	DDInter1860	2
DDInter1886	DDInter1568	2
DDInter1568	DDInter1890	1
DDInter1568	DDInter1917	1
DDInter1568	DDInter1922	1
DDInter1568	DDInter1940	1
DDInter1951	DDInter1568	2
DDInter1590	DDInter1559	2
DDInter1559	DDInter1592	2
DDInter1559	DDInter1595	3
DDInter1559	DDInter1600	2
DDInter1559	DDInter1637	1
DDInter1559	DDInter1640	2
DDInter1559	DDInter1658	3
DDInter1633	DDInter1559	1
DDInter1559	DDInter1701	1
DDInter1559	DDInter1711	2
DDInter1713	DDInter1559	2
DDInter1735	DDInter1559	2
DDInter1758	DDInter1559	2
